Year,Sector,Source,Accounts,Value
2021,J - Information and communication,,Eurostat - AEA,2.85
2022,J - Information and communication,,Eurostat - AEA,3.08
1995,K - Financial and insurance activities,,Eurostat - AEA,102.29
1996,K - Financial and insurance activities,,Eurostat - AEA,100.76
1997,K - Financial and insurance activities,,Eurostat - AEA,104.53
1998,K - Financial and insurance activities,,Eurostat - AEA,107.41
1999,K - Financial and insurance activities,,Eurostat - AEA,111.38
2000,K - Financial and insurance activities,,Eurostat - AEA,111.98
2001,K - Financial and insurance activities,,Eurostat - AEA,112.94
2002,K - Financial and insurance activities,,Eurostat - AEA,114.4
2003,K - Financial and insurance activities,,Eurostat - AEA,120.89
2004,K - Financial and insurance activities,,Eurostat - AEA,126.49
2005,K - Financial and insurance activities,,Eurostat - AEA,72.37
2006,K - Financial and insurance activities,,Eurostat - AEA,142.61
2007,K - Financial and insurance activities,,Eurostat - AEA,156.64
2008,K - Financial and insurance activities,,Eurostat - AEA,169.59
2009,K - Financial and insurance activities,,Eurostat - AEA,166.8
2010,K - Financial and insurance activities,,Eurostat - AEA,155.41
2011,K - Financial and insurance activities,,Eurostat - AEA,136.16
2012,K - Financial and insurance activities,,Eurostat - AEA,114.67
2013,K - Financial and insurance activities,,Eurostat - AEA,103.52
2014,K - Financial and insurance activities,,Eurostat - AEA,88.81
2015,K - Financial and insurance activities,,Eurostat - AEA,77.06
2016,K - Financial and insurance activities,,Eurostat - AEA,65.43
2017,K - Financial and insurance activities,,Eurostat - AEA,56.65
2018,K - Financial and insurance activities,,Eurostat - AEA,48.57
2019,K - Financial and insurance activities,,Eurostat - AEA,39.88
2020,K - Financial and insurance activities,,Eurostat - AEA,35.28
2021,K - Financial and insurance activities,,Eurostat - AEA,30.93
2022,K - Financial and insurance activities,,Eurostat - AEA,3.35
1995,L - Real estate activities,,Eurostat - AEA,2.43
1996,L - Real estate activities,,Eurostat - AEA,2.32
1997,L - Real estate activities,,Eurostat - AEA,2.5
1998,L - Real estate activities,,Eurostat - AEA,2.56
1999,L - Real estate activities,,Eurostat - AEA,2.71
2000,L - Real estate activities,,Eurostat - AEA,2.78
2001,L - Real estate activities,,Eurostat - AEA,2.81
2002,L - Real estate activities,,Eurostat - AEA,2.85
2003,L - Real estate activities,,Eurostat - AEA,3.14
2004,L - Real estate activities,,Eurostat - AEA,3.33
2005,L - Real estate activities,,Eurostat - AEA,3.3
2006,L - Real estate activities,,Eurostat - AEA,4.55
2007,L - Real estate activities,,Eurostat - AEA,4.86
2008,L - Real estate activities,,Eurostat - AEA,3.36
2009,L - Real estate activities,,Eurostat - AEA,3.85
2010,L - Real estate activities,,Eurostat - AEA,3.53
2011,L - Real estate activities,,Eurostat - AEA,3.68
2012,L - Real estate activities,,Eurostat - AEA,3.65
2013,L - Real estate activities,,Eurostat - AEA,3.52
2014,L - Real estate activities,,Eurostat - AEA,4.28
2015,L - Real estate activities,,Eurostat - AEA,4.57
2016,L - Real estate activities,,Eurostat - AEA,6.1
2017,L - Real estate activities,,Eurostat - AEA,6.98
2018,L - Real estate activities,,Eurostat - AEA,7.51
2019,L - Real estate activities,,Eurostat - AEA,7.1
2020,L - Real estate activities,,Eurostat - AEA,6.13
2021,L - Real estate activities,,Eurostat - AEA,6.33
2022,L - Real estate activities,,Eurostat - AEA,6.46
1995,"M - Professional, scientific and technical activities",,Eurostat - AEA,3.73
1996,"M - Professional, scientific and technical activities",,Eurostat - AEA,3.61
1997,"M - Professional, scientific and technical activities",,Eurostat - AEA,3.82
1998,"M - Professional, scientific and technical activities",,Eurostat - AEA,3.93
1999,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.12
2000,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.19
2001,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.23
2002,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.29
2003,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.64
2004,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.9
2005,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.42
2006,"M - Professional, scientific and technical activities",,Eurostat - AEA,7.55
2007,"M - Professional, scientific and technical activities",,Eurostat - AEA,6.38
2008,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.46
2009,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.43
2010,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.07
2011,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.57
2012,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.82
2013,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.72
2014,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.77
2015,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.95
2016,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.42
2017,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.63
2018,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.97
2019,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.39
2020,"M - Professional, scientific and technical activities",,Eurostat - AEA,4.83
2021,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.63
2022,"M - Professional, scientific and technical activities",,Eurostat - AEA,5.19
1995,N - Administrative and support service activities,,Eurostat - AEA,6.32
1996,N - Administrative and support service activities,,Eurostat - AEA,5.6
1997,N - Administrative and support service activities,,Eurostat - AEA,6.53
1998,N - Administrative and support service activities,,Eurostat - AEA,6.69
1999,N - Administrative and support service activities,,Eurostat - AEA,7.31
2000,N - Administrative and support service activities,,Eurostat - AEA,7.78
2001,N - Administrative and support service activities,,Eurostat - AEA,7.89
2002,N - Administrative and support service activities,,Eurostat - AEA,8.06
2003,N - Administrative and support service activities,,Eurostat - AEA,9.48
2004,N - Administrative and support service activities,,Eurostat - AEA,10.22
2005,N - Administrative and support service activities,,Eurostat - AEA,7.74
2006,N - Administrative and support service activities,,Eurostat - AEA,13.54
2007,N - Administrative and support service activities,,Eurostat - AEA,15.2
2008,N - Administrative and support service activities,,Eurostat - AEA,15.94
2009,N - Administrative and support service activities,,Eurostat - AEA,17.03
2010,N - Administrative and support service activities,,Eurostat - AEA,15.79
2011,N - Administrative and support service activities,,Eurostat - AEA,14.51
2012,N - Administrative and support service activities,,Eurostat - AEA,14.66
2013,N - Administrative and support service activities,,Eurostat - AEA,15.63
2014,N - Administrative and support service activities,,Eurostat - AEA,17.04
2015,N - Administrative and support service activities,,Eurostat - AEA,19.19
2016,N - Administrative and support service activities,,Eurostat - AEA,24.28
2017,N - Administrative and support service activities,,Eurostat - AEA,28.28
2018,N - Administrative and support service activities,,Eurostat - AEA,31.32
2019,N - Administrative and support service activities,,Eurostat - AEA,32.85
2020,N - Administrative and support service activities,,Eurostat - AEA,29.95
2021,N - Administrative and support service activities,,Eurostat - AEA,30.4
2022,N - Administrative and support service activities,,Eurostat - AEA,34.78
1995,O - Public administration and defence; compulsory social security,,Eurostat - AEA,3.13
1996,O - Public administration and defence; compulsory social security,,Eurostat - AEA,2.86
1997,O - Public administration and defence; compulsory social security,,Eurostat - AEA,3.23
1998,O - Public administration and defence; compulsory social security,,Eurostat - AEA,3.31
1999,O - Public administration and defence; compulsory social security,,Eurostat - AEA,3.57
2000,O - Public administration and defence; compulsory social security,,Eurostat - AEA,3.74
2001,O - Public administration and defence; compulsory social security,,Eurostat - AEA,3.79
2002,O - Public administration and defence; compulsory social security,,Eurostat - AEA,3.86
2003,O - Public administration and defence; compulsory social security,,Eurostat - AEA,4.42
2004,O - Public administration and defence; compulsory social security,,Eurostat - AEA,4.74
2005,O - Public administration and defence; compulsory social security,,Eurostat - AEA,4.86
2006,O - Public administration and defence; compulsory social security,,Eurostat - AEA,5.32
2007,O - Public administration and defence; compulsory social security,,Eurostat - AEA,6.02
2008,O - Public administration and defence; compulsory social security,,Eurostat - AEA,5.96
2009,O - Public administration and defence; compulsory social security,,Eurostat - AEA,6.41
2010,O - Public administration and defence; compulsory social security,,Eurostat - AEA,6.25
2011,O - Public administration and defence; compulsory social security,,Eurostat - AEA,5.95
2012,O - Public administration and defence; compulsory social security,,Eurostat - AEA,6.39
2013,O - Public administration and defence; compulsory social security,,Eurostat - AEA,6.3
2014,O - Public administration and defence; compulsory social security,,Eurostat - AEA,6.18
2015,O - Public administration and defence; compulsory social security,,Eurostat - AEA,7.04
2016,O - Public administration and defence; compulsory social security,,Eurostat - AEA,7.29
2017,O - Public administration and defence; compulsory social security,,Eurostat - AEA,7.05
2018,O - Public administration and defence; compulsory social security,,Eurostat - AEA,12.07
2019,O - Public administration and defence; compulsory social security,,Eurostat - AEA,8.66
2020,O - Public administration and defence; compulsory social security,,Eurostat - AEA,7.33
2021,O - Public administration and defence; compulsory social security,,Eurostat - AEA,7.46
2022,O - Public administration and defence; compulsory social security,,Eurostat - AEA,18.34
1995,P - Education,,Eurostat - AEA,0.44
1996,P - Education,,Eurostat - AEA,0.42
1997,P - Education,,Eurostat - AEA,0.45
1998,P - Education,,Eurostat - AEA,0.46
1999,P - Education,,Eurostat - AEA,0.49
2000,P - Education,,Eurostat - AEA,0.5
2001,P - Education,,Eurostat - AEA,0.51
2002,P - Education,,Eurostat - AEA,0.52
2003,P - Education,,Eurostat - AEA,0.57
2004,P - Education,,Eurostat - AEA,0.6
2005,P - Education,,Eurostat - AEA,0.41
2006,P - Education,,Eurostat - AEA,0.54
2007,P - Education,,Eurostat - AEA,0.59
2008,P - Education,,Eurostat - AEA,0.68
2009,P - Education,,Eurostat - AEA,0.8
2010,P - Education,,Eurostat - AEA,1.0
2011,P - Education,,Eurostat - AEA,0.84
2012,P - Education,,Eurostat - AEA,0.93
2013,P - Education,,Eurostat - AEA,0.92
2014,P - Education,,Eurostat - AEA,0.93
2015,P - Education,,Eurostat - AEA,0.88
2016,P - Education,,Eurostat - AEA,1.03
2017,P - Education,,Eurostat - AEA,0.91
2018,P - Education,,Eurostat - AEA,1.16
2019,P - Education,,Eurostat - AEA,1.03
2020,P - Education,,Eurostat - AEA,1.04
2021,P - Education,,Eurostat - AEA,1.33
2022,P - Education,,Eurostat - AEA,1.22
1995,Q - Human health and social work activities,,Eurostat - AEA,1.51
1996,Q - Human health and social work activities,,Eurostat - AEA,1.45
1997,Q - Human health and social work activities,,Eurostat - AEA,1.55
1998,Q - Human health and social work activities,,Eurostat - AEA,1.59
1999,Q - Human health and social work activities,,Eurostat - AEA,1.68
2000,Q - Human health and social work activities,,Eurostat - AEA,1.71
2001,Q - Human health and social work activities,,Eurostat - AEA,1.73
2002,Q - Human health and social work activities,,Eurostat - AEA,1.76
2003,Q - Human health and social work activities,,Eurostat - AEA,1.92
2004,Q - Human health and social work activities,,Eurostat - AEA,2.03
2005,Q - Human health and social work activities,,Eurostat - AEA,1.81
2006,Q - Human health and social work activities,,Eurostat - AEA,2.58
2007,Q - Human health and social work activities,,Eurostat - AEA,2.25
2008,Q - Human health and social work activities,,Eurostat - AEA,2.3
2009,Q - Human health and social work activities,,Eurostat - AEA,2.4
2010,Q - Human health and social work activities,,Eurostat - AEA,2.36
2011,Q - Human health and social work activities,,Eurostat - AEA,2.46
2012,Q - Human health and social work activities,,Eurostat - AEA,2.5
2013,Q - Human health and social work activities,,Eurostat - AEA,2.37
2014,Q - Human health and social work activities,,Eurostat - AEA,2.38
2015,Q - Human health and social work activities,,Eurostat - AEA,2.56
2016,Q - Human health and social work activities,,Eurostat - AEA,2.49
2017,Q - Human health and social work activities,,Eurostat - AEA,2.31
2018,Q - Human health and social work activities,,Eurostat - AEA,2.46
2019,Q - Human health and social work activities,,Eurostat - AEA,2.25
2020,Q - Human health and social work activities,,Eurostat - AEA,2.35
2021,Q - Human health and social work activities,,Eurostat - AEA,2.26
2022,Q - Human health and social work activities,,Eurostat - AEA,2.18
1995,"R - Arts, entertainment and recreation",,Eurostat - AEA,0.91
1996,"R - Arts, entertainment and recreation",,Eurostat - AEA,0.88
1997,"R - Arts, entertainment and recreation",,Eurostat - AEA,0.93
1998,"R - Arts, entertainment and recreation",,Eurostat - AEA,0.95
1999,"R - Arts, entertainment and recreation",,Eurostat - AEA,1.0
2000,"R - Arts, entertainment and recreation",,Eurostat - AEA,1.02
2001,"R - Arts, entertainment and recreation",,Eurostat - AEA,1.03
2002,"R - Arts, entertainment and recreation",,Eurostat - AEA,1.04
2003,"R - Arts, entertainment and recreation",,Eurostat - AEA,3.75
2004,"R - Arts, entertainment and recreation",,Eurostat - AEA,7.88
2005,"R - Arts, entertainment and recreation",,Eurostat - AEA,7.02
2006,"R - Arts, entertainment and recreation",,Eurostat - AEA,3.25
2007,"R - Arts, entertainment and recreation",,Eurostat - AEA,5.33
2008,"R - Arts, entertainment and recreation",,Eurostat - AEA,3.53
2009,"R - Arts, entertainment and recreation",,Eurostat - AEA,5.02
2010,"R - Arts, entertainment and recreation",,Eurostat - AEA,3.69
2011,"R - Arts, entertainment and recreation",,Eurostat - AEA,3.73
2012,"R - Arts, entertainment and recreation",,Eurostat - AEA,4.12
2013,"R - Arts, entertainment and recreation",,Eurostat - AEA,4.36
2014,"R - Arts, entertainment and recreation",,Eurostat - AEA,6.42
2015,"R - Arts, entertainment and recreation",,Eurostat - AEA,3.21
2016,"R - Arts, entertainment and recreation",,Eurostat - AEA,2.4
2017,"R - Arts, entertainment and recreation",,Eurostat - AEA,2.23
2018,"R - Arts, entertainment and recreation",,Eurostat - AEA,2.68
2019,"R - Arts, entertainment and recreation",,Eurostat - AEA,4.33
2020,"R - Arts, entertainment and recreation",,Eurostat - AEA,3.64
2021,"R - Arts, entertainment and recreation",,Eurostat - AEA,2.92
2022,"R - Arts, entertainment and recreation",,Eurostat - AEA,2.61
1995,S - Other services activities,,Eurostat - AEA,1.08
1996,S - Other services activities,,Eurostat - AEA,1.05
1997,S - Other services activities,,Eurostat - AEA,1.11
1998,S - Other services activities,,Eurostat - AEA,1.14
1999,S - Other services activities,,Eurostat - AEA,1.19
2000,S - Other services activities,,Eurostat - AEA,1.2
2001,S - Other services activities,,Eurostat - AEA,1.21
2002,S - Other services activities,,Eurostat - AEA,1.23
2003,S - Other services activities,,Eurostat - AEA,1.32
2004,S - Other services activities,,Eurostat - AEA,1.38
2005,S - Other services activities,,Eurostat - AEA,1.15
2006,S - Other services activities,,Eurostat - AEA,1.52
2007,S - Other services activities,,Eurostat - AEA,1.44
2008,S - Other services activities,,Eurostat - AEA,1.47
2009,S - Other services activities,,Eurostat - AEA,1.63
2010,S - Other services activities,,Eurostat - AEA,1.68
2011,S - Other services activities,,Eurostat - AEA,1.57
2012,S - Other services activities,,Eurostat - AEA,1.52
2013,S - Other services activities,,Eurostat - AEA,1.56
2014,S - Other services activities,,Eurostat - AEA,1.52
2015,S - Other services activities,,Eurostat - AEA,1.74
2016,S - Other services activities,,Eurostat - AEA,1.87
2017,S - Other services activities,,Eurostat - AEA,1.72
2018,S - Other services activities,,Eurostat - AEA,1.8
2019,S - Other services activities,,Eurostat - AEA,1.84
2020,S - Other services activities,,Eurostat - AEA,1.5
2021,S - Other services activities,,Eurostat - AEA,1.53
2022,S - Other services activities,,Eurostat - AEA,1.67
1995,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.16
1996,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.16
1997,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.16
1998,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.17
1999,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.18
2000,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.18
2001,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.18
2002,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.18
2003,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.2
2004,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.21
2005,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.22
2006,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.2
2007,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.26
2008,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.25
2009,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.22
2010,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.26
2011,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.23
2012,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.2
2013,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.17
2014,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.23
2015,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.21
2016,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.21
2017,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.22
2018,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.19
2019,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.21
2020,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.17
2021,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.17
2022,U - Activities of extraterritorial organisations and bodies,,Eurostat - AEA,0.16
1995,Households,,Eurostat - AEA,359.41
1996,Households,,Eurostat - AEA,365.3
1997,Households,,Eurostat - AEA,365.41
1998,Households,,Eurostat - AEA,382.09
1999,Households,,Eurostat - AEA,394.32
2000,Households,,Eurostat - AEA,387.07
2001,Households,,Eurostat - AEA,386.28
2002,Households,,Eurostat - AEA,388.89
2003,Households,,Eurostat - AEA,403.95
2004,Households,,Eurostat - AEA,417.02
2005,Households,,Eurostat - AEA,467.09
2006,Households,,Eurostat - AEA,449.53
2007,Households,,Eurostat - AEA,416.59
2008,Households,,Eurostat - AEA,391.25
2009,Households,,Eurostat - AEA,417.32
2010,Households,,Eurostat - AEA,421.78
2011,Households,,Eurostat - AEA,427.12
2012,Households,,Eurostat - AEA,430.06
2013,Households,,Eurostat - AEA,433.23
2014,Households,,Eurostat - AEA,445.82
2015,Households,,Eurostat - AEA,471.34
2016,Households,,Eurostat - AEA,502.39
2017,Households,,Eurostat - AEA,522.03
2018,Households,,Eurostat - AEA,530.32
2019,Households,,Eurostat - AEA,522.61
2020,Households,,Eurostat - AEA,469.85
2021,Households,,Eurostat - AEA,497.69
2022,Households,,Eurostat - AEA,522.13
