Year,Banvænt/óbanvænt,Kyn,Þjóðerni,Value
1981,Banvænt,Bæði,Erlent,0
1982,Banvænt,Bæði,Erlent,0
1983,Banvænt,Bæði,Erlent,0
1984,Banvænt,Bæði,Erlent,0
1985,Banvænt,Bæði,Erlent,0
1986,Banvænt,Bæði,Erlent,1
1987,Banvænt,Bæði,Erlent,0
1988,Banvænt,Bæði,Erlent,0
1989,Banvænt,Bæði,Erlent,0
1990,Banvænt,Bæði,Erlent,0
1991,Banvænt,Bæði,Erlent,0
1992,Banvænt,Bæði,Erlent,0
1993,Banvænt,Bæði,Erlent,0
1994,Banvænt,Bæði,Erlent,0
1995,Banvænt,Bæði,Erlent,0
1996,Banvænt,Bæði,Erlent,0
1997,Banvænt,Bæði,Erlent,0
1998,Banvænt,Bæði,Erlent,0
1999,Banvænt,Bæði,Erlent,0
2000,Banvænt,Bæði,Erlent,0
2001,Banvænt,Bæði,Erlent,0
2002,Banvænt,Bæði,Erlent,0
2003,Banvænt,Bæði,Erlent,0
2004,Banvænt,Bæði,Erlent,0
2005,Banvænt,Bæði,Erlent,0
2006,Banvænt,Bæði,Erlent,1
2007,Banvænt,Bæði,Erlent,2
2008,Banvænt,Bæði,Erlent,3
2009,Banvænt,Bæði,Erlent,0
2010,Banvænt,Bæði,Erlent,1
2011,Banvænt,Bæði,Erlent,0
2012,Banvænt,Bæði,Erlent,0
2013,Banvænt,Bæði,Erlent,0
2014,Banvænt,Bæði,Erlent,1
2015,Banvænt,Bæði,Erlent,0
2016,Banvænt,Bæði,Erlent,0
2017,Banvænt,Bæði,Erlent,1
2018,Banvænt,Bæði,Erlent,1
2019,Banvænt,Bæði,Erlent,1
2020,Banvænt,Bæði,Erlent,1
2021,Banvænt,Bæði,Erlent,1
2022,Banvænt,Bæði,Erlent,0
1980,Banvænt,Karl,Erlent,0
1981,Banvænt,Karl,Erlent,0
1982,Banvænt,Karl,Erlent,0
1983,Banvænt,Karl,Erlent,0
1984,Banvænt,Karl,Erlent,0
1985,Banvænt,Karl,Erlent,0
1986,Banvænt,Karl,Erlent,1
1987,Banvænt,Karl,Erlent,0
1988,Banvænt,Karl,Erlent,0
1989,Banvænt,Karl,Erlent,0
1990,Banvænt,Karl,Erlent,0
1991,Banvænt,Karl,Erlent,0
1992,Banvænt,Karl,Erlent,0
1993,Banvænt,Karl,Erlent,0
1994,Banvænt,Karl,Erlent,0
1995,Banvænt,Karl,Erlent,0
1996,Banvænt,Karl,Erlent,0
1997,Banvænt,Karl,Erlent,0
1998,Banvænt,Karl,Erlent,0
1999,Banvænt,Karl,Erlent,0
2000,Banvænt,Karl,Erlent,0
2001,Banvænt,Karl,Erlent,0
2002,Banvænt,Karl,Erlent,0
2003,Banvænt,Karl,Erlent,0
2004,Banvænt,Karl,Erlent,0
2005,Banvænt,Karl,Erlent,0
2006,Banvænt,Karl,Erlent,1
2007,Banvænt,Karl,Erlent,2
2008,Banvænt,Karl,Erlent,3
2009,Banvænt,Karl,Erlent,0
2010,Banvænt,Karl,Erlent,1
2011,Banvænt,Karl,Erlent,0
2012,Banvænt,Karl,Erlent,0
2013,Banvænt,Karl,Erlent,0
2014,Banvænt,Karl,Erlent,0
2015,Banvænt,Karl,Erlent,0
2016,Banvænt,Karl,Erlent,0
2017,Banvænt,Karl,Erlent,1
2018,Banvænt,Karl,Erlent,1
2019,Banvænt,Karl,Erlent,1
2020,Banvænt,Karl,Erlent,1
2021,Banvænt,Karl,Erlent,1
2022,Banvænt,Karl,Erlent,0
1980,Banvænt,Kona,Erlent,0
1981,Banvænt,Kona,Erlent,0
1982,Banvænt,Kona,Erlent,0
1983,Banvænt,Kona,Erlent,0
1984,Banvænt,Kona,Erlent,0
1985,Banvænt,Kona,Erlent,0
1986,Banvænt,Kona,Erlent,0
1987,Banvænt,Kona,Erlent,0
1988,Banvænt,Kona,Erlent,0
1989,Banvænt,Kona,Erlent,0
1990,Banvænt,Kona,Erlent,0
1991,Banvænt,Kona,Erlent,0
1992,Banvænt,Kona,Erlent,0
1993,Banvænt,Kona,Erlent,0
1994,Banvænt,Kona,Erlent,0
1995,Banvænt,Kona,Erlent,0
1996,Banvænt,Kona,Erlent,0
1997,Banvænt,Kona,Erlent,0
1998,Banvænt,Kona,Erlent,0
1999,Banvænt,Kona,Erlent,0
2000,Banvænt,Kona,Erlent,0
2001,Banvænt,Kona,Erlent,0
2002,Banvænt,Kona,Erlent,0
2003,Banvænt,Kona,Erlent,0
2004,Banvænt,Kona,Erlent,0
2005,Banvænt,Kona,Erlent,0
2006,Banvænt,Kona,Erlent,0
2007,Banvænt,Kona,Erlent,0
2008,Banvænt,Kona,Erlent,0
2009,Banvænt,Kona,Erlent,0
2010,Banvænt,Kona,Erlent,0
2011,Banvænt,Kona,Erlent,0
2012,Banvænt,Kona,Erlent,0
2013,Banvænt,Kona,Erlent,0
2014,Banvænt,Kona,Erlent,1
2015,Banvænt,Kona,Erlent,0
2016,Banvænt,Kona,Erlent,0
2017,Banvænt,Kona,Erlent,0
2018,Banvænt,Kona,Erlent,0
2019,Banvænt,Kona,Erlent,0
2020,Banvænt,Kona,Erlent,0
2021,Banvænt,Kona,Erlent,0
2022,Banvænt,Kona,Erlent,0
1980,Óbanvænt,Karl,Erlent,0
1981,Óbanvænt,Karl,Erlent,0
1982,Óbanvænt,Karl,Erlent,0
1983,Óbanvænt,Karl,Erlent,0
1984,Óbanvænt,Karl,Erlent,4
1985,Óbanvænt,Karl,Erlent,5
1986,Óbanvænt,Karl,Erlent,5
1987,Óbanvænt,Karl,Erlent,6
1988,Óbanvænt,Karl,Erlent,10
1989,Óbanvænt,Karl,Erlent,8
1990,Óbanvænt,Karl,Erlent,15
1991,Óbanvænt,Karl,Erlent,12
1992,Óbanvænt,Karl,Erlent,10
1993,Óbanvænt,Karl,Erlent,4
1994,Óbanvænt,Karl,Erlent,6
1995,Óbanvænt,Karl,Erlent,7
1996,Óbanvænt,Karl,Erlent,12
1997,Óbanvænt,Karl,Erlent,10
1998,Óbanvænt,Karl,Erlent,13
1999,Óbanvænt,Karl,Erlent,24
2000,Óbanvænt,Karl,Erlent,47
2001,Óbanvænt,Karl,Erlent,33
2002,Óbanvænt,Karl,Erlent,29
2003,Óbanvænt,Karl,Erlent,83
2004,Óbanvænt,Karl,Erlent,479
2005,Óbanvænt,Karl,Erlent,378
2006,Óbanvænt,Karl,Erlent,466
2007,Óbanvænt,Karl,Erlent,559
2008,Óbanvænt,Karl,Erlent,336
2009,Óbanvænt,Karl,Erlent,126
2010,Óbanvænt,Karl,Erlent,97
2011,Óbanvænt,Karl,Erlent,114
2012,Óbanvænt,Karl,Erlent,127
2013,Óbanvænt,Karl,Erlent,183
2014,Óbanvænt,Karl,Erlent,184
2015,Óbanvænt,Karl,Erlent,180
2016,Óbanvænt,Karl,Erlent,254
2017,Óbanvænt,Karl,Erlent,318
2018,Óbanvænt,Karl,Erlent,382
2019,Óbanvænt,Karl,Erlent,376
2020,Óbanvænt,Karl,Erlent,287
2021,Óbanvænt,Karl,Erlent,315
2022,Óbanvænt,Karl,Erlent,400
1980,Óbanvænt,Kona,Erlent,0
1981,Óbanvænt,Kona,Erlent,0
1982,Óbanvænt,Kona,Erlent,0
1983,Óbanvænt,Kona,Erlent,0
1984,Óbanvænt,Kona,Erlent,0
1985,Óbanvænt,Kona,Erlent,3
1986,Óbanvænt,Kona,Erlent,2
1987,Óbanvænt,Kona,Erlent,3
1988,Óbanvænt,Kona,Erlent,4
1989,Óbanvænt,Kona,Erlent,4
1990,Óbanvænt,Kona,Erlent,6
1991,Óbanvænt,Kona,Erlent,5
1992,Óbanvænt,Kona,Erlent,1
1993,Óbanvænt,Kona,Erlent,2
1994,Óbanvænt,Kona,Erlent,2
1995,Óbanvænt,Kona,Erlent,4
1996,Óbanvænt,Kona,Erlent,6
1997,Óbanvænt,Kona,Erlent,10
1998,Óbanvænt,Kona,Erlent,8
1999,Óbanvænt,Kona,Erlent,15
2000,Óbanvænt,Kona,Erlent,4
2001,Óbanvænt,Kona,Erlent,16
2002,Óbanvænt,Kona,Erlent,16
2003,Óbanvænt,Kona,Erlent,18
2004,Óbanvænt,Kona,Erlent,27
2005,Óbanvænt,Kona,Erlent,34
2006,Óbanvænt,Kona,Erlent,42
2007,Óbanvænt,Kona,Erlent,72
2008,Óbanvænt,Kona,Erlent,75
2009,Óbanvænt,Kona,Erlent,53
2010,Óbanvænt,Kona,Erlent,56
2011,Óbanvænt,Kona,Erlent,57
2012,Óbanvænt,Kona,Erlent,59
2013,Óbanvænt,Kona,Erlent,67
2014,Óbanvænt,Kona,Erlent,93
2015,Óbanvænt,Kona,Erlent,109
2016,Óbanvænt,Kona,Erlent,114
2017,Óbanvænt,Kona,Erlent,116
2018,Óbanvænt,Kona,Erlent,167
2019,Óbanvænt,Kona,Erlent,179
2020,Óbanvænt,Kona,Erlent,114
2021,Óbanvænt,Kona,Erlent,152
2022,Óbanvænt,Kona,Erlent,184
1980,Óbanvænt,Bæði,Erlent,0
1981,Óbanvænt,Bæði,Erlent,0
1982,Óbanvænt,Bæði,Erlent,0
1983,Óbanvænt,Bæði,Erlent,0
1984,Óbanvænt,Bæði,Erlent,4
1985,Óbanvænt,Bæði,Erlent,8
1986,Óbanvænt,Bæði,Erlent,7
1987,Óbanvænt,Bæði,Erlent,9
1988,Óbanvænt,Bæði,Erlent,14
1989,Óbanvænt,Bæði,Erlent,12
1990,Óbanvænt,Bæði,Erlent,21
1991,Óbanvænt,Bæði,Erlent,17
1992,Óbanvænt,Bæði,Erlent,11
1993,Óbanvænt,Bæði,Erlent,6
1994,Óbanvænt,Bæði,Erlent,8
1995,Óbanvænt,Bæði,Erlent,11
1996,Óbanvænt,Bæði,Erlent,18
1997,Óbanvænt,Bæði,Erlent,20
1998,Óbanvænt,Bæði,Erlent,21
1999,Óbanvænt,Bæði,Erlent,39
2000,Óbanvænt,Bæði,Erlent,51
2001,Óbanvænt,Bæði,Erlent,49
2002,Óbanvænt,Bæði,Erlent,45
2003,Óbanvænt,Bæði,Erlent,101
2004,Óbanvænt,Bæði,Erlent,506
2005,Óbanvænt,Bæði,Erlent,412
2006,Óbanvænt,Bæði,Erlent,508
2007,Óbanvænt,Bæði,Erlent,631
2008,Óbanvænt,Bæði,Erlent,411
2009,Óbanvænt,Bæði,Erlent,179
2010,Óbanvænt,Bæði,Erlent,153
2011,Óbanvænt,Bæði,Erlent,171
2012,Óbanvænt,Bæði,Erlent,186
2013,Óbanvænt,Bæði,Erlent,250
2014,Óbanvænt,Bæði,Erlent,277
2015,Óbanvænt,Bæði,Erlent,289
2016,Óbanvænt,Bæði,Erlent,368
2017,Óbanvænt,Bæði,Erlent,434
2018,Óbanvænt,Bæði,Erlent,549
2019,Óbanvænt,Bæði,Erlent,555
2020,Óbanvænt,Bæði,Erlent,401
2021,Óbanvænt,Bæði,Erlent,466
2022,Óbanvænt,Bæði,Erlent,585
