Year,Banvænt/óbanvænt,Kyn,Þjóðerni,Value
2020,Óbanvænt,Bæði,Íslenskt,1406.0
2021,Óbanvænt,Bæði,Íslenskt,1408.0
2022,Óbanvænt,Bæði,Íslenskt,1365.0
1980,Alls,Bæði,Erlent,0.0
1981,Alls,Bæði,Erlent,0.0
1982,Alls,Bæði,Erlent,0.0
1983,Alls,Bæði,Erlent,0.0
1984,Alls,Bæði,Erlent,4.0
1985,Alls,Bæði,Erlent,8.0
1986,Alls,Bæði,Erlent,8.0
1987,Alls,Bæði,Erlent,9.0
1988,Alls,Bæði,Erlent,14.0
1989,Alls,Bæði,Erlent,12.0
1990,Alls,Bæði,Erlent,21.0
1991,Alls,Bæði,Erlent,17.0
1992,Alls,Bæði,Erlent,11.0
1993,Alls,Bæði,Erlent,6.0
1994,Alls,Bæði,Erlent,8.0
1995,Alls,Bæði,Erlent,11.0
1996,Alls,Bæði,Erlent,18.0
1997,Alls,Bæði,Erlent,20.0
1998,Alls,Bæði,Erlent,21.0
1999,Alls,Bæði,Erlent,39.0
2000,Alls,Bæði,Erlent,51.0
2001,Alls,Bæði,Erlent,49.0
2002,Alls,Bæði,Erlent,45.0
2003,Alls,Bæði,Erlent,101.0
2004,Alls,Bæði,Erlent,506.0
2005,Alls,Bæði,Erlent,412.0
2006,Alls,Bæði,Erlent,509.0
2007,Alls,Bæði,Erlent,633.0
2008,Alls,Bæði,Erlent,414.0
2009,Alls,Bæði,Erlent,179.0
2010,Alls,Bæði,Erlent,154.0
2011,Alls,Bæði,Erlent,171.0
2012,Alls,Bæði,Erlent,186.0
2013,Alls,Bæði,Erlent,250.0
2014,Alls,Bæði,Erlent,278.0
2015,Alls,Bæði,Erlent,289.0
2016,Alls,Bæði,Erlent,368.0
2017,Alls,Bæði,Erlent,435.0
2018,Alls,Bæði,Erlent,550.0
2019,Alls,Bæði,Erlent,556.0
2020,Alls,Bæði,Erlent,402.0
2021,Alls,Bæði,Erlent,467.0
2022,Alls,Bæði,Erlent,585.0
1980,Banvænt,Bæði,Erlent,0.0
1981,Banvænt,Bæði,Erlent,0.0
1982,Banvænt,Bæði,Erlent,0.0
1983,Banvænt,Bæði,Erlent,0.0
1984,Banvænt,Bæði,Erlent,0.0
1985,Banvænt,Bæði,Erlent,0.0
1986,Banvænt,Bæði,Erlent,1.0
1987,Banvænt,Bæði,Erlent,0.0
1988,Banvænt,Bæði,Erlent,0.0
1989,Banvænt,Bæði,Erlent,0.0
1990,Banvænt,Bæði,Erlent,0.0
1991,Banvænt,Bæði,Erlent,0.0
1992,Banvænt,Bæði,Erlent,0.0
1993,Banvænt,Bæði,Erlent,0.0
1994,Banvænt,Bæði,Erlent,0.0
1995,Banvænt,Bæði,Erlent,0.0
1996,Banvænt,Bæði,Erlent,0.0
1997,Banvænt,Bæði,Erlent,0.0
1998,Banvænt,Bæði,Erlent,0.0
1999,Banvænt,Bæði,Erlent,0.0
2000,Banvænt,Bæði,Erlent,0.0
2001,Banvænt,Bæði,Erlent,0.0
2002,Banvænt,Bæði,Erlent,0.0
2003,Banvænt,Bæði,Erlent,0.0
2004,Banvænt,Bæði,Erlent,0.0
2005,Banvænt,Bæði,Erlent,0.0
2006,Banvænt,Bæði,Erlent,1.0
2007,Banvænt,Bæði,Erlent,2.0
2008,Banvænt,Bæði,Erlent,3.0
2009,Banvænt,Bæði,Erlent,0.0
2010,Banvænt,Bæði,Erlent,1.0
2011,Banvænt,Bæði,Erlent,0.0
2012,Banvænt,Bæði,Erlent,0.0
2013,Banvænt,Bæði,Erlent,0.0
2014,Banvænt,Bæði,Erlent,1.0
2015,Banvænt,Bæði,Erlent,0.0
2016,Banvænt,Bæði,Erlent,0.0
2017,Banvænt,Bæði,Erlent,1.0
2018,Banvænt,Bæði,Erlent,1.0
2019,Banvænt,Bæði,Erlent,1.0
2020,Banvænt,Bæði,Erlent,1.0
2021,Banvænt,Bæði,Erlent,1.0
2022,Banvænt,Bæði,Erlent,0.0
1980,Banvænt,Karl,Erlent,0.0
1981,Banvænt,Karl,Erlent,0.0
1982,Banvænt,Karl,Erlent,0.0
1983,Banvænt,Karl,Erlent,0.0
1984,Banvænt,Karl,Erlent,0.0
1985,Banvænt,Karl,Erlent,0.0
1986,Banvænt,Karl,Erlent,1.0
1987,Banvænt,Karl,Erlent,0.0
1988,Banvænt,Karl,Erlent,0.0
1989,Banvænt,Karl,Erlent,0.0
1990,Banvænt,Karl,Erlent,0.0
1991,Banvænt,Karl,Erlent,0.0
1992,Banvænt,Karl,Erlent,0.0
1993,Banvænt,Karl,Erlent,0.0
1994,Banvænt,Karl,Erlent,0.0
1995,Banvænt,Karl,Erlent,0.0
1996,Banvænt,Karl,Erlent,0.0
1997,Banvænt,Karl,Erlent,0.0
1998,Banvænt,Karl,Erlent,0.0
1999,Banvænt,Karl,Erlent,0.0
2000,Banvænt,Karl,Erlent,0.0
2001,Banvænt,Karl,Erlent,0.0
2002,Banvænt,Karl,Erlent,0.0
2003,Banvænt,Karl,Erlent,0.0
2004,Banvænt,Karl,Erlent,0.0
2005,Banvænt,Karl,Erlent,0.0
2006,Banvænt,Karl,Erlent,1.0
2007,Banvænt,Karl,Erlent,2.0
2008,Banvænt,Karl,Erlent,3.0
2009,Banvænt,Karl,Erlent,0.0
2010,Banvænt,Karl,Erlent,1.0
2011,Banvænt,Karl,Erlent,0.0
2012,Banvænt,Karl,Erlent,0.0
2013,Banvænt,Karl,Erlent,0.0
2014,Banvænt,Karl,Erlent,0.0
2015,Banvænt,Karl,Erlent,0.0
2016,Banvænt,Karl,Erlent,0.0
2017,Banvænt,Karl,Erlent,1.0
2018,Banvænt,Karl,Erlent,1.0
2019,Banvænt,Karl,Erlent,1.0
2020,Banvænt,Karl,Erlent,1.0
2021,Banvænt,Karl,Erlent,1.0
2022,Banvænt,Karl,Erlent,0.0
1980,Banvænt,Kona,Erlent,0.0
1981,Banvænt,Kona,Erlent,0.0
1982,Banvænt,Kona,Erlent,0.0
1983,Banvænt,Kona,Erlent,0.0
1984,Banvænt,Kona,Erlent,0.0
1985,Banvænt,Kona,Erlent,0.0
1986,Banvænt,Kona,Erlent,0.0
1987,Banvænt,Kona,Erlent,0.0
1988,Banvænt,Kona,Erlent,0.0
1989,Banvænt,Kona,Erlent,0.0
1990,Banvænt,Kona,Erlent,0.0
1991,Banvænt,Kona,Erlent,0.0
1992,Banvænt,Kona,Erlent,0.0
1993,Banvænt,Kona,Erlent,0.0
1994,Banvænt,Kona,Erlent,0.0
1995,Banvænt,Kona,Erlent,0.0
1996,Banvænt,Kona,Erlent,0.0
1997,Banvænt,Kona,Erlent,0.0
1998,Banvænt,Kona,Erlent,0.0
1999,Banvænt,Kona,Erlent,0.0
2000,Banvænt,Kona,Erlent,0.0
2001,Banvænt,Kona,Erlent,0.0
2002,Banvænt,Kona,Erlent,0.0
2003,Banvænt,Kona,Erlent,0.0
2004,Banvænt,Kona,Erlent,0.0
2005,Banvænt,Kona,Erlent,0.0
2006,Banvænt,Kona,Erlent,0.0
2007,Banvænt,Kona,Erlent,0.0
2008,Banvænt,Kona,Erlent,0.0
2009,Banvænt,Kona,Erlent,0.0
2010,Banvænt,Kona,Erlent,0.0
2011,Banvænt,Kona,Erlent,0.0
2012,Banvænt,Kona,Erlent,0.0
2013,Banvænt,Kona,Erlent,0.0
2014,Banvænt,Kona,Erlent,1.0
2015,Banvænt,Kona,Erlent,0.0
2016,Banvænt,Kona,Erlent,0.0
2017,Banvænt,Kona,Erlent,0.0
2018,Banvænt,Kona,Erlent,0.0
2019,Banvænt,Kona,Erlent,0.0
2020,Banvænt,Kona,Erlent,0.0
2021,Banvænt,Kona,Erlent,0.0
2022,Banvænt,Kona,Erlent,0.0
1980,Óbanvænt,Karl,Erlent,
1981,Óbanvænt,Karl,Erlent,
1982,Óbanvænt,Karl,Erlent,
1983,Óbanvænt,Karl,Erlent,
1984,Óbanvænt,Karl,Erlent,
1985,Óbanvænt,Karl,Erlent,
1986,Óbanvænt,Karl,Erlent,
1987,Óbanvænt,Karl,Erlent,
1988,Óbanvænt,Karl,Erlent,
1989,Óbanvænt,Karl,Erlent,
1990,Óbanvænt,Karl,Erlent,
1991,Óbanvænt,Karl,Erlent,
1992,Óbanvænt,Karl,Erlent,
1993,Óbanvænt,Karl,Erlent,
1994,Óbanvænt,Karl,Erlent,
1995,Óbanvænt,Karl,Erlent,
1996,Óbanvænt,Karl,Erlent,
1997,Óbanvænt,Karl,Erlent,
1998,Óbanvænt,Karl,Erlent,
1999,Óbanvænt,Karl,Erlent,
2000,Óbanvænt,Karl,Erlent,
2001,Óbanvænt,Karl,Erlent,
2002,Óbanvænt,Karl,Erlent,
2003,Óbanvænt,Karl,Erlent,
2004,Óbanvænt,Karl,Erlent,
2005,Óbanvænt,Karl,Erlent,
2006,Óbanvænt,Karl,Erlent,
2007,Óbanvænt,Karl,Erlent,
2008,Óbanvænt,Karl,Erlent,
2009,Óbanvænt,Karl,Erlent,
2010,Óbanvænt,Karl,Erlent,
2011,Óbanvænt,Karl,Erlent,
2012,Óbanvænt,Karl,Erlent,
2013,Óbanvænt,Karl,Erlent,
2014,Óbanvænt,Karl,Erlent,
2015,Óbanvænt,Karl,Erlent,
2016,Óbanvænt,Karl,Erlent,
2017,Óbanvænt,Karl,Erlent,
2018,Óbanvænt,Karl,Erlent,
2019,Óbanvænt,Karl,Erlent,
2020,Óbanvænt,Karl,Erlent,
2021,Óbanvænt,Karl,Erlent,
2022,Óbanvænt,Karl,Erlent,
1980,Óbanvænt,Kona,Erlent,
1981,Óbanvænt,Kona,Erlent,
1982,Óbanvænt,Kona,Erlent,
1983,Óbanvænt,Kona,Erlent,
1984,Óbanvænt,Kona,Erlent,
1985,Óbanvænt,Kona,Erlent,
1986,Óbanvænt,Kona,Erlent,
1987,Óbanvænt,Kona,Erlent,
1988,Óbanvænt,Kona,Erlent,
1989,Óbanvænt,Kona,Erlent,
1990,Óbanvænt,Kona,Erlent,
1991,Óbanvænt,Kona,Erlent,
1992,Óbanvænt,Kona,Erlent,
1993,Óbanvænt,Kona,Erlent,
1994,Óbanvænt,Kona,Erlent,
1995,Óbanvænt,Kona,Erlent,
1996,Óbanvænt,Kona,Erlent,
1997,Óbanvænt,Kona,Erlent,
1998,Óbanvænt,Kona,Erlent,
1999,Óbanvænt,Kona,Erlent,
2000,Óbanvænt,Kona,Erlent,
2001,Óbanvænt,Kona,Erlent,
2002,Óbanvænt,Kona,Erlent,
2003,Óbanvænt,Kona,Erlent,
2004,Óbanvænt,Kona,Erlent,
2005,Óbanvænt,Kona,Erlent,
2006,Óbanvænt,Kona,Erlent,
2007,Óbanvænt,Kona,Erlent,
2008,Óbanvænt,Kona,Erlent,
2009,Óbanvænt,Kona,Erlent,
2010,Óbanvænt,Kona,Erlent,
2011,Óbanvænt,Kona,Erlent,
2012,Óbanvænt,Kona,Erlent,
2013,Óbanvænt,Kona,Erlent,
2014,Óbanvænt,Kona,Erlent,
2015,Óbanvænt,Kona,Erlent,
2016,Óbanvænt,Kona,Erlent,
2017,Óbanvænt,Kona,Erlent,
2018,Óbanvænt,Kona,Erlent,
2019,Óbanvænt,Kona,Erlent,
2020,Óbanvænt,Kona,Erlent,
2021,Óbanvænt,Kona,Erlent,
2022,Óbanvænt,Kona,Erlent,
1980,Óbanvænt,Bæði,Erlent,0.0
1981,Óbanvænt,Bæði,Erlent,0.0
1982,Óbanvænt,Bæði,Erlent,0.0
1983,Óbanvænt,Bæði,Erlent,0.0
1984,Óbanvænt,Bæði,Erlent,4.0
1985,Óbanvænt,Bæði,Erlent,8.0
1986,Óbanvænt,Bæði,Erlent,7.0
1987,Óbanvænt,Bæði,Erlent,9.0
1988,Óbanvænt,Bæði,Erlent,14.0
1989,Óbanvænt,Bæði,Erlent,12.0
1990,Óbanvænt,Bæði,Erlent,21.0
1991,Óbanvænt,Bæði,Erlent,17.0
1992,Óbanvænt,Bæði,Erlent,11.0
1993,Óbanvænt,Bæði,Erlent,6.0
1994,Óbanvænt,Bæði,Erlent,8.0
1995,Óbanvænt,Bæði,Erlent,11.0
1996,Óbanvænt,Bæði,Erlent,18.0
1997,Óbanvænt,Bæði,Erlent,20.0
1998,Óbanvænt,Bæði,Erlent,21.0
1999,Óbanvænt,Bæði,Erlent,39.0
2000,Óbanvænt,Bæði,Erlent,51.0
2001,Óbanvænt,Bæði,Erlent,49.0
2002,Óbanvænt,Bæði,Erlent,45.0
2003,Óbanvænt,Bæði,Erlent,101.0
2004,Óbanvænt,Bæði,Erlent,506.0
2005,Óbanvænt,Bæði,Erlent,412.0
2006,Óbanvænt,Bæði,Erlent,508.0
2007,Óbanvænt,Bæði,Erlent,631.0
2008,Óbanvænt,Bæði,Erlent,411.0
2009,Óbanvænt,Bæði,Erlent,179.0
2010,Óbanvænt,Bæði,Erlent,153.0
2011,Óbanvænt,Bæði,Erlent,171.0
2012,Óbanvænt,Bæði,Erlent,186.0
2013,Óbanvænt,Bæði,Erlent,250.0
2014,Óbanvænt,Bæði,Erlent,277.0
2015,Óbanvænt,Bæði,Erlent,289.0
2016,Óbanvænt,Bæði,Erlent,368.0
2017,Óbanvænt,Bæði,Erlent,434.0
2018,Óbanvænt,Bæði,Erlent,549.0
2019,Óbanvænt,Bæði,Erlent,555.0
2020,Óbanvænt,Bæði,Erlent,401.0
2021,Óbanvænt,Bæði,Erlent,466.0
2022,Óbanvænt,Bæði,Erlent,585.0
